FechaControl,codigo_cliente,codigo_producto,Marca_gestion,tipo_gestion,Contacto,Acuerdo,Cumplimiento,# Gestiones,Franja horaria,Motivo de no gestiÃƒÂ³n,DiasMora,RDiasMora,SaldoCapital,Score,RScore,Nivel_Riesgo,numero_gestiones_pred,mejor_gestion_pred,fecha_inicio_proxima_gestion,DiasMoraMesSiguiente,RDiasMoraMesSiguiente,INDBYM,Fecha_Desembolso,Monto_Desembolsado,Departamento,Tipo_credito
7/1/2024,23179840,12856480298,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Mañana,Ausencia de datos,0,A. Al dia,112274.85680371209,954,E. >907 a 932,C. Riesgo Medio,2,SMS,8/18/2024,2,A. Al día,Malos,7/22/2024,264420,Antioquia,Vivienda
7/1/2024,1124731425,14003735491,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,5,Mañana,Ausencia de datos,25,A. Al dia,96668.52111723257,934,A. Hasta 843,B. Riesgo Medio,16,TEL,9/9/2024,0,A. Al día,Buenos,7/29/2024,486885,Guaviare,Vivienda
7/1/2024,1058611959,11745815046,Gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,2,Tarde,Número no disponible,0,D. Mayor a 60 dias,230049.1800599157,856,D. >882 a 907,C. Riesgo Bajo,12,WHATSAPP,8/13/2024,0,A. Al día,Buenos,7/12/2024,61998,Atlántico,Vivienda
7/1/2024,955931656,11727619639,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Mañana,Número no disponible,19,A. Al dia,201664.66921088632,809,E. >907 a 932,B. Riesgo Medio,13,WHATSAPP,8/3/2024,0,A. Al día,Buenos,7/29/2024,424817,Valle del Cauca,Vivienda
8/1/2024,84895100,9578309954,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Tarde,Ausencia de datos,0,D. Mayor a 60 dias,123328.35179430772,919,C. >875 a 882,C. Riesgo Medio,10,SMS,9/7/2024,8,A. Al día,Malos,1/25/2024,117321,Bolívar,Vivienda
6/1/2024,1044778451,11230130333,Gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,5,Tarde,Ausencia de datos,111,A. Al dia,36002.95264239087,379,A. Hasta 843,A. Riesgo Muy Alto,2,SMS,8/21/2024,0,D. Mayor a 60 días,Buenos,8/5/2024,215539,Vaupés,Consumo
8/1/2024,59418540,11036337449,No gestionado,SMS,Contacto,Acuerdo,Cumplimiento,1,Mañana,Número no disponible,0,A. Al dia,83212.50910868667,962,E. >907 a 932,A. Riesgo Alto,6,WHATSAPP,8/13/2024,4,D. Mayor a 60 días,Malos,6/24/2024,501694,Cauca,Consumo
6/1/2024,1038940194,12610203100,Gestionado,TEL,Contacto,No acuerdo,Cumplimiento,6,Mañana,Número no disponible,36,A. Al dia,151149.0056450654,873,E. >907 a 932,C. Riesgo Bajo,21,SMS,7/17/2024,1,A. Al día,Buenos,4/13/2024,246314,Cauca,Vivienda
8/1/2024,1084393281,11661159402,Gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,5,Mañana,Ausencia de datos,0,A. Al dia,342918.7688215454,780,B. >843 a 875,A. Riesgo Muy Alto,8,EMAIL,8/4/2024,46,D. Mayor a 60 días,Buenos,7/30/2024,189483,Chocó,Consumo
6/1/2024,1013484150,90377846208,Gestionado,TEL,Contacto,Acuerdo,No cumplimiento,2,Tarde,Ausencia de datos,2,A. Al dia,189698.6184764412,844,A. Hasta 672,A. Riesgo Alto,9,WHATSAPP,9/11/2024,2,A. Al día,Malos,8/9/2024,362339,Caquetá,Vivienda
